Date,Open,High,Low,Close,Volume
2025-04-17,133.7408148962181,134.49040693646774,132.11505490166533,133.03988647460938,7135900
2025-04-21,131.1610383206507,132.93283419362368,129.82733396554988,132.53369140625,8128300
2025-04-22,133.12751352356045,135.41526832667728,132.87440623123976,135.06480407714844,8228000
2025-04-23,138.80307932350632,140.06864549265077,136.07724792563806,136.73924255371094,9073500
2025-04-24,138.99779704341293,143.9042971891861,138.2287304557231,143.31045532226562,8810600
2025-04-25,142.21036331396743,145.24771020328487,142.21036331396743,144.62466430664062,5145600
2025-04-28,144.2547275186005,145.34506899241887,141.58731920303785,143.70956420898438,5743500
2025-04-29,142.77500808830106,144.33261548017964,141.66520706543523,142.9891815185547,6692000
2025-04-30,141.35366085986524,144.90698157001538,140.06863527669685,144.52731323242188,10851900
2025-05-01,135.11348001190552,135.27898982515688,131.29732164410038,131.62832641601562,22836600
2025-05-02,134.19838887141756,137.6640828547077,133.65321067401015,136.10646057128906,13185600
2025-05-05,134.6364605879462,137.0410319159665,134.62671597923088,135.7462615966797,7165300
2025-05-06,134.1691883123513,137.07024466622028,133.81872403201507,136.19407653808594,6957900
2025-05-07,136.66136563016605,140.86692193902886,136.53480455162372,140.47752380371094,10196400
2025-05-08,141.78200604060282,143.59273536549688,140.07836341762234,141.25631713867188,8489100
2025-05-09,141.8014782612383,143.08650381022312,140.76955997905443,141.3341827392578,6217100
2025-05-12,149.99844902116286,150.2710306808412,145.86103079190465,148.09036254882812,11414600
2025-05-13,147.98328952144686,149.2293814679555,146.96111563041438,147.33103942871094,10160900
2025-05-14,147.9053931367326,149.20990805524272,146.4451278803619,148.92758178710938,6971200
2025-05-15,147.6912447985942,149.3267348688479,146.20176046767313,148.56739807128906,6941200
2025-05-16,148.82049062987332,149.00545993355698,147.2920874315665,148.46029663085938,6668000
2025-05-19,146.56194349479676,149.74532557180274,146.13359668876723,149.6284942626953,7241100
2025-05-20,148.9859792658297,149.81346879320728,147.90538245993662,149.74533081054688,5269500
2025-05-21,149.51167556615306,151.9941291696275,146.83452292319885,147.3018035888672,9684500
2025-05-22,147.37971717360375,147.56468649911827,143.3201811855507,143.46620178222656,9539100
2025-05-23,139.62082890724173,142.6095123044748,138.01454304432,141.52891540527344,8994600
2025-05-27,143.6414325221901,145.3937538475113,142.55109100055313,144.6928253173828,9788800
2025-05-28,144.87779286703872,145.53004290846147,143.45646146087023,143.6901092529297,7032300
2025-05-29,145.8902315291829,146.51327743038448,143.33963969216796,144.41049194335938,5980700
2025-05-30,144.07951510677947,144.09898947080808,139.67924467531498,141.3536834716797,13755600
2025-06-02,140.96429347211102,143.31045684458704,140.6527630479834,142.74581909179688,6419500
2025-06-03,142.82367499923402,145.8123433172603,141.65545098172436,144.99459838867188,6164100
2025-06-04,146.02651620200814,146.0751946783259,143.4759244724804,145.1016845703125,7143800
2025-06-05,145.72847794122714,146.98205502488273,143.9656304973935,144.51406860351562,5605500
2025-06-06,146.70783139957655,147.48151764435403,145.97331289952243,146.15939331054688,5794700
2025-06-09,148.67633168230338,152.89736216037895,148.04954317652584,152.2020263671875,10589400
2025-06-10,152.96593041264023,156.21739124440217,151.86905422030858,155.84524536132812,9068400
2025-06-11,156.69730448145137,158.793130331138,154.4447777407666,156.1880340576172,8859900
2025-06-12,155.71792844291218,156.315337445383,154.6895995116011,155.4241180419922,5689400
2025-06-13,153.1128308617383,153.92569982009846,151.2520565818029,151.52627563476562,8446400
2025-06-16,153.78859785171264,155.17928452974687,152.42729072052418,153.63189697265625,8686300
2025-06-17,153.41641834086857,154.32722901376684,151.20307473271035,151.27163696289062,7146900
2025-06-18,151.80048639809556,152.87778615006036,149.9886681635593,150.45877075195312,6708700
2025-06-20,151.046377277574,151.91800528321264,147.5206975110454,148.1964569091797,15501900
2025-06-23,148.10831955893082,150.3510579504271,146.59031153279383,149.97889709472656,6860700
2025-06-24,151.53608311685355,153.0736825930134,150.96805359377777,152.49586486816406,7692700
2025-06-25,152.87779246563522,153.29890924000765,151.39895229558925,152.71128845214844,5280100
2025-06-26,153.26953460645848,155.14990026651918,152.69171694429866,154.92465209960938,6278200
